MessageID1;MessageID2;Strength
10003825;10003823;0.9047619047619048
10003825;10003821;0.8571428571428571
10003825;10003819;0.9523809523809523
10003825;10003817;0.8761904761904762
10003823;10003825;0.8260869565217391
10003823;10003821;0.8521739130434782
10003823;10003819;0.9043478260869565
10003823;10003817;0.8260869565217391
10003821;10003825;0.8411214953271028
10003821;10003823;0.9158878504672897
10003821;10003819;0.8878504672897196
10003821;10003817;0.8317757009345794
10003819;10003823;0.8253968253968254
10003817;10001865;0.8495575221238938
10003817;10003208;0.8053097345132744
10003817;10003546;0.8141592920353983
10003817;10003039;0.8053097345132744
10003817;10003825;0.8141592920353983
10003817;10003823;0.8407079646017699
10003817;10003819;0.8495575221238938
10003817;10003377;0.8053097345132744
10003817;10002701;0.8053097345132744
10003817;10001958;0.8230088495575221
10003817;10000804;0.8053097345132744
10003817;10002528;0.8053097345132744
10003817;10004247;0.8053097345132744
10003817;10002870;0.8053097345132744
10003817;10003909;0.8230088495575221
10003817;10004078;0.8053097345132744
10003817;10003715;0.8230088495575221
10003816;10003830;1.0
10003815;10003830;0.8
10003815;10003819;0.8
10003815;10003810;0.8
10003812;10003811;1.0
10003812;10017813;1.0
10003810;10001858;0.8604651162790697
10002728;10005304;0.8877551020408163
10002728;10005161;0.8877551020408163
10002728;10005160;0.8877551020408163
10002728;10005135;0.8877551020408163
10002728;10006209;0.8775510204081632
10002728;10002727;0.9591836734693877
10002728;10011619;0.8775510204081632
10002728;10004781;0.8877551020408163
10002728;10004780;0.8877551020408163
10002728;10002702;0.9387755102040817
10002728;10006938;0.8571428571428571
10002728;10000947;0.9081632653061225
10002728;10000928;0.9183673469387755
10002728;10004755;0.8877551020408163
10002728;10012185;0.8673469387755102
10002728;10011933;0.8673469387755102
10002728;10010850;0.8367346938775511
10002728;10008601;0.8571428571428571
10002728;10002555;0.9081632653061225
10002728;10002554;0.9081632653061225
10002728;10005330;0.8877551020408163
10002728;10000810;0.9081632653061225
10002728;10005329;0.8877551020408163
10002728;10002529;0.9081632653061225
10002728;10006357;0.8673469387755102
10002727;10005304;0.9157894736842105
10002727;10010679;0.8
10002727;10005161;0.9157894736842105
10002727;10005160;0.9157894736842105
10002727;10005135;0.9157894736842105
10002727;10006209;0.9052631578947369
10002727;10002728;0.9894736842105263
10002727;10011619;0.9052631578947369
10002727;10004781;0.9157894736842105
10002727;10004780;0.9157894736842105
10002727;10002702;0.968421052631579
10002727;10006938;0.8842105263157894
10002727;10000947;0.9473684210526315
10002727;10000928;0.9368421052631579
10002727;10004755;0.9157894736842105
10002727;10012185;0.8947368421052632
10002727;10011933;0.8947368421052632
10002727;10010850;0.8631578947368421
10002727;10008601;0.8842105263157894
10002727;10002555;0.9368421052631579
10002727;10002554;0.9473684210526315
10002727;10005330;0.9157894736842105
10002727;10000810;0.9368421052631579
10002727;10005329;0.9157894736842105
10002727;10002529;0.9368421052631579
10002727;10006357;0.8947368421052632
10002722;10002720;0.9181818181818182
10002722;10002718;0.9272727272727272
10002722;10002716;0.9272727272727272
10002722;10002701;0.8909090909090909
10002720;10002722;0.9528301886792453
10002720;10002718;0.9716981132075472
10002720;10002716;0.9339622641509434
10002720;10002701;0.9245283018867925
10006199;10006198;1.0
10006199;10006203;1.0
10006199;10006201;1.0
10006199;10006200;1.0
10006198;10006199;1.0
10006198;10006203;1.0
10006198;10006201;1.0
10006198;10006200;1.0
10006196;10006195;0.9230769230769231
10006195;10006196;0.9230769230769231
10006193;10006192;1.0
10006192;10006193;1.0
10003809;10003561;1.0
10003809;10003556;1.0
10003809;10003547;1.0
